category,title,price,img_url,Brand,Material,Body Finish,Application Area,Contry of Origin,IP Rating,Warranty,Mounting System,Height,Diameter,Lamp Type,Length,Width,LED Color (CCT),Dimmable,Voice Control,Location,Cutout Diameter,Wattage,Voltage,Technical Specsheet
chandeliers,ANKUR LASER CUT METAL MAPLE LEAF CHANDELIER,"₹ 48,000",//www.ankurlighting.com/cdn/shop/products/ankur-laser-cut-metal-maple-leaf-chandelier-ankur-lighting-1.jpg?v=1695132114&width=1250,Ankur Lighting,Stainless Steel,Silver,Indoor (Dry Rated),,,12 Months,Surface,950,800,G9,,,,,,,,,,
chandeliers,ANKUR 15 LIGHTS VEGAS GOLDEN CRYSTAL CHANDELIER,"₹ 69,000",//www.ankurlighting.com/cdn/shop/products/ankur-15-lights-vegas-golden-crystal-chandelier-ankur-lighting-1.jpg?v=1695131913&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,IP 20,12 Months,Surface,850MM (2.79 feet.),,E14,810MM (2.66 feet.),810MM (2.66 feet.),,,,,,,,
chandeliers,ANKUR 15 LIGHTS SPARKLE CLEAR CRYSTAL CHANDELIER,"₹ 61,000",//www.ankurlighting.com/cdn/shop/products/ankur-15-lights-sparkle-clear-crystal-chandelier-ankur-lighting-1.jpg?v=1695131873&width=1250,Ankur Lighting,Glass,Clear glass crystal,Indoor (Dry Rated),,IP 20,6 Months,Surface,710MM (2.33 feet.),,E14,830MM (2.72 feet.),830MM (2.72 feet.),,No,,,,,,
chandeliers,ANKUR UPTOWN 3 LIGHT BLACK METAL CAGE WITH AMBER/CHAMPAGNE GLASS CHANDELIER,"₹ 15,000",//www.ankurlighting.com/cdn/shop/products/ankur-uptown-3-light-black-metal-cage-with-amberchampagne-glass-chandelier-ankur-lighting-1.jpg?v=1695131782&width=2480,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,520MM (1.7 Feet),240MM (0.78 Feet),E27,340MM (1.11 Feet),,,,,,,,,
chandeliers,ANKUR 12 LIGHT MARIA COQUINE UMBRELLA BACCARAT STYLE CRYSTAL CHANDELIER,"₹ 2,05,000",//www.ankurlighting.com/cdn/shop/products/ankur-12-light-maria-coquine-umbrella-baccarat-style-crystal-chandelier-ankur-lighting-1.jpg?v=1695131576&width=1250,Ankur Lighting,Metal,White / Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,(5 feet) 1500,(3.3 feet) 1000,E14,,,,No,,,,,110-220V,
chandeliers,ANKUR EMMA 16 GLOBE RADIANT GOLD CHANDELIER,"₹ 19,800",//www.ankurlighting.com/cdn/shop/products/ankur-emma-16-globe-radiant-gold-chandelier-ankur-lighting-1.jpg?v=1695131261&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),China,,12 Months,Surface,1110MM (3.64 feet.),,E27,920MM (3.02 feet.),260MM (0.85 feet.),,,,,,,80-240V,
table-lamps,BELLJAR GLASS AND METAL CONTEMPORARY TABLE LAMP,"₹ 7,400",//www.ankurlighting.com/cdn/shop/products/belljar-glass-and-metal-contemporary-table-lamp-ankur-lighting-1.jpg?v=1695132415&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),China,,12 Months,,584MM (1.91 feet.),311MM (1.02 feet.),E27,,,,,,,,,210-240V,
table-lamps,MUSHED RECHARGABLE TOUCH CONTROL WIRELESS BAR TABLE LAMP,"₹ 2,250",//www.ankurlighting.com/cdn/shop/files/mushed-rechargable-touch-control-wireless-bar-table-lamp-ankur-lighting-1.jpg?v=1695133104&width=1250,Ankur Lighting,Metal,Rose Gold and Gold,Indoor (Dry Rated),China,IP 20,12 Months,Surface,203MM (0.66 Feet),114MM (0.37 Feet),LED SMD,,,,Yes,,,,,,
table-lamps,CHIRP FLORAL PATTERN CERAMIC TABLE LAMP SLIM AND FAT,"₹ 9,900",//www.ankurlighting.com/cdn/shop/files/chirp-floral-pattern-ceramic-table-lamp-slim-and-fat-ankur-lighting-1.jpg?v=1695133067&width=1250,Ankur Lighting,Ceramic,Green,Indoor (Dry Rated),China,IP 20,12 Months,Surface,620MM (2.0 feet.),380MM (1.24 feet.),E27,,(1 feet) 320,,,,,,,110-220,
table-lamps,MUSHROOM RECHARGABLE TOUCH CONTROL WIRELESS BAR TABLE LAMP,"₹ 2,000",//www.ankurlighting.com/cdn/shop/files/mushroom-rechargable-touch-control-wireless-bar-table-lamp-ankur-lighting-1.jpg?v=1695133104&width=1250,Ankur Lighting,Metal,Rose Gold and Gold,Indoor (Dry Rated),China,IP 20,12 Months,Surface,210MM (0.68Feet),90MM (0.29Feet),LED SMD,,,,Yes,,,,,,
